"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.422527,126.771882,"ASIA","Jeju",2023,10,22,"cdc,cdround","https://www.inaturalist.org/observations/188878573","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4436384380","188878573",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.281191,127.361077,"ASIA","Daejeon",2023,10,28,"cdc,cdround","https://www.inaturalist.org/observations/189423601","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4436357419","189423601",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.242028,126.608828,"ASIA","Jeju",2023,10,27,"cdc,cdround","https://www.inaturalist.org/observations/194878373","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4506534993","194878373",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.242499,126.54795,"ASIA","Jeju",2023,10,29,"cdc,cdround","https://www.inaturalist.org/observations/194878398","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4507650431","194878398",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.436578,126.630822,"ASIA","Jeju",2023,10,1,"cdc,cdround","https://www.inaturalist.org/observations/202225623","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597495349","202225623",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",34.68487,125.198382,"ASIA","Jeollanam-do",2023,10,2,"cdc,cdround","https://www.inaturalist.org/observations/204083679","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606606457","204083679",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.431907,126.611698,"ASIA","Jeju",2023,10,14,"cdc,cdround","https://www.inaturalist.org/observations/204719838","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607230346","204719838",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.520994,126.556949,"ASIA","Jeju",2023,10,4,"cdc,cdround","https://www.inaturalist.org/observations/205223892","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607099483","205223892",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",35.932502,127.206622,"ASIA","Jeollabuk-do",2023,11,4,"cdc,cdround","https://www.inaturalist.org/observations/189934122","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4442350160","189934122",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.556462,127.587005,"ASIA","Chungcheongbuk-do",2022,4,18,"cdc,cdround","https://www.inaturalist.org/observations/111911364","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772835611","111911364",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.514642,126.711392,"ASIA","Jeju",2022,4,30,"cdc,cdround","https://www.inaturalist.org/observations/113703607","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772755085","113703607",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.518729,126.714409,"ASIA","Jeju",2022,4,30,"cdc,cdround","https://www.inaturalist.org/observations/113704977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773350890","113704977",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.51863,126.714521,"ASIA","Jeju",2022,4,30,"cdc","https://www.inaturalist.org/observations/113736595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773318880","113736595",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.518643,126.714503,"ASIA","Jeju",2022,4,30,"cdc,cdround","https://www.inaturalist.org/observations/113739890","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772423805","113739890",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.52209,126.544435,"ASIA","Jeju",2022,4,30,"cdc,cdround","https://www.inaturalist.org/observations/116388776","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773696164","116388776",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.937599,126.320761,"ASIA","Jeollanam-do",2022,5,1,"cdc,cdround","https://www.inaturalist.org/observations/114056015","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773700537","114056015",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.454642,126.717925,"ASIA","Jeju",2022,5,1,"cdc,cdround","https://www.inaturalist.org/observations/114116196","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772689005","114116196",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.453117,126.722365,"ASIA","Jeju",2022,5,1,"cdc,cdround","https://www.inaturalist.org/observations/114120332","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773529482","114120332",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.162103,126.310429,"ASIA","Incheon",2022,5,15,"cdc,cdround","https://www.inaturalist.org/observations/117136766","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784922991","117136766",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.487319,126.486153,"ASIA","Jeju",2022,6,11,"cdc,cdround","https://www.inaturalist.org/observations/121233825","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859726276","121233825",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.478192,126.506612,"ASIA","Jeju",2022,6,12,"cdc,cdround","https://www.inaturalist.org/observations/121386645","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858505389","121386645",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.313968,126.571562,"ASIA","Jeju",2022,6,18,"cdc,cdround","https://www.inaturalist.org/observations/127059298","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873263158","127059298",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.98512,126.924028,"ASIA","Jeollanam-do",2022,6,11,"cdc,cdround","https://www.inaturalist.org/observations/159136878","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4112088736","159136878",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.287607,126.281916,"ASIA","Jeju",2022,7,12,"cdc,cdround","https://www.inaturalist.org/observations/126931151","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873175559","126931151",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.292303,126.281665,"ASIA","Jeju",2022,7,18,"cdc,cdround","https://www.inaturalist.org/observations/126932628","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874206290","126932628",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.431622,126.889357,"ASIA","Jeju",2022,8,27,"cdc,cdround","https://www.inaturalist.org/observations/132486434","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3903361075","132486434",NA,NA,NA
