"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",34.917444,128.627547,"ASIA","Gyeongsangnam-do",2023,4,16,"cdc,cdround","https://www.inaturalist.org/observations/155130122","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121199522","155130122",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.224801,129.003071,"ASIA","Gyeongsangnam-do",2023,4,17,"cdc,cdround","https://www.inaturalist.org/observations/155336414","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4102622526","155336414",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.712094,126.328798,"ASIA","Chungcheongnam-do",2023,4,28,"cdc,cdround","https://www.inaturalist.org/observations/157145909","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116507427","157145909",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.798199,127.86917,"ASIA","Gyeongsangnam-do",2023,4,29,"cdc,cdround","https://www.inaturalist.org/observations/157549137","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4102770422","157549137",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.357973,126.726135,"ASIA","Gyeonggi-do",2023,4,30,"cdc,cdround","https://www.inaturalist.org/observations/159199977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4103455663","159199977",NA,NA,NA,NA
"efba8776-759f-4a48-a644-49b65226dab3","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.722316,126.626032,"ASIA","Chungcheongnam-do",2023,4,17,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4526214303","NSMK-OB-AM-230500008","Deoksan-myeon","Yesan-gun",NA,NA
"efba8776-759f-4a48-a644-49b65226dab3","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.661939,126.624713,"ASIA","Chungcheongnam-do",2023,4,18,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4526214311","NSMK-OB-AM-230500012","Deoksan-myeon","Yesan-gun",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.749707,126.105927,"ASIA","Chungcheongnam-do",2023,5,1,"cdc,cdround","https://www.inaturalist.org/observations/158598509","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116290452","158598509",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.675383,127.086475,"ASIA","Chungcheongnam-do",2023,5,3,"cdc,cdround","https://www.inaturalist.org/observations/159426962","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4111777937","159426962",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.636315,127.929005,"ASIA","Gyeongsangnam-do",2023,5,5,"cdc,cdround","https://www.inaturalist.org/observations/159852076","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4112027331","159852076",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.672864,126.142378,"ASIA","Chungcheongnam-do",2023,5,8,"cdc,cdround","https://www.inaturalist.org/observations/160547481","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4111913029","160547481",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.770413,126.375546,"ASIA","Chungcheongnam-do",2023,5,8,"cdc,cdround","https://www.inaturalist.org/observations/160548702","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116032689","160548702",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.744942,126.360159,"ASIA","Chungcheongnam-do",2023,5,10,"cdc,cdround","https://www.inaturalist.org/observations/160875619","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116396916","160875619",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.878351,126.253201,"ASIA","Chungcheongnam-do",2023,5,11,"cdc,cdround","https://www.inaturalist.org/observations/161023014","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116077179","161023014",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.775855,126.260985,"ASIA","Chungcheongnam-do",2023,5,12,"cdc,cdround","https://www.inaturalist.org/observations/161206936","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116627475","161206936",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.519762,129.106803,"ASIA","Ulsan",2023,5,12,"cdc,cdround","https://www.inaturalist.org/observations/161338533","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116339594","161338533",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.816788,127.816245,"ASIA","Gangwon-do",2023,5,13,"cdc,cdround","https://www.inaturalist.org/observations/161390709","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116380852","161390709",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.74008,128.470395,"ASIA","Daegu",2023,5,17,"cdc,cdround","https://www.inaturalist.org/observations/162114253","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145191514","162114253",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.715865,126.283139,"ASIA","Chungcheongnam-do",2023,5,17,"cdc,cdround","https://www.inaturalist.org/observations/162126358","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121110982","162126358",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.613941,127.839374,"ASIA","Gyeongsangnam-do",2023,5,20,"cdc,cdround","https://www.inaturalist.org/observations/162592366","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4120930632","162592366",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.690014,128.408669,"ASIA","Daegu",2023,5,21,"cdc,cdround","https://www.inaturalist.org/observations/162821229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121036329","162821229",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.786329,126.218299,"ASIA","Chungcheongnam-do",2023,5,27,"cdc,cdround","https://www.inaturalist.org/observations/163971458","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4126914250","163971458",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.857227,127.147777,"ASIA","Chungcheongnam-do",2023,5,28,"cdc,cdround","https://www.inaturalist.org/observations/164174651","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4127382599","164174651",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.720581,126.225285,"ASIA","Chungcheongnam-do",2023,5,30,"cdc,cdround","https://www.inaturalist.org/observations/164632980","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4137647912","164632980",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.593904,126.877773,"ASIA","Seoul",2023,5,25,"cdc,cdround","https://www.inaturalist.org/observations/164781411","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129839890","164781411",NA,NA,NA,NA
